omega,j,k,W,F_real,F_imag,reference_Omega,reference_d
29.905722454265277,2,4,0.0008,-0.11128906572384285,0.00859215918251309,31.41592653589793,1.0
29.905722454265277,3,0,0.0008,-0.17391997200207848,-0.4206082133631621,31.41592653589793,1.0
29.905722454265277,3,1,0.0008,0.02267838517092917,0.5857339854188817,31.41592653589793,1.0
29.905722454265277,3,2,0.0008,0.22966111289546348,0.00279812319168065,31.41592653589793,1.0
29.905722454265277,3,3,0.0008,-0.3560554652255737,-0.5981589780290184,31.41592653589793,1.0
29.905722454265277,3,4,0.0008,0.28648530175496306,0.40094100157571566,31.41592653589793,1.0
29.905722454265277,4,0,0.0008,0.22936466152393056,0.26921526342788643,31.41592653589793,1.0
29.905722454265277,4,1,0.0008,-0.17391997200207854,-0.42060821336316234,31.41592653589793,1.0
29.905722454265277,4,2,0.0008,-0.11128906572384252,0.008592159182513139,31.41592653589793,1.0
29.905722454265277,4,3,0.0008,0.28648530175496295,0.40094100157571555,31.41592653589793,1.0
29.905722454265277,4,4,0.0008,-0.21076996535948114,-0.3030256845015592,31.41592653589793,1.0
29.987355107326504,0,0,0.0008,-0.17610269562521289,-0.35274583871840376,31.41592653589793,1.0
29.987355107326504,0,1,0.0008,0.23125485954335587,0.4565456719331151,31.41592653589793,1.0
29.987355107326504,0,2,0.0008,-0.11591531507948166,0.008700536843543667,31.41592653589793,1.0
29.987355107326504,0,3,0.0008,-0.11106857516888752,-0.4765930841933932,31.41592653589793,1.0
29.987355107326504,0,4,0.0008,0.191317496075139,0.31974867726639605,31.41592653589793,1.0
29.987355107326504,1,0,0.0008,0.23125485954335567,0.4565456719331155,31.41592653589793,1.0
29.987355107326504,1,1,0.0008,-0.27644948862233804,-0.656051043741226,31.41592653589793,1.0
29.987355107326504,1,2,0.0008,0.2427133822119707,0.003242118390501064,31.41592653589793,1.0
29.987355107326504,1,3,0.0008,-0.07674863178765828,0.6430307231775018,31.41592653589793,1.0
29.987355107326504,1,4,0.0008,-0.11106857516888785,-0.4765930841933933,31.41592653589793,1.0
29.987355107326504,2,0,0.0008,-0.11591531507948132,0.008700536843543126,31.41592653589793,1.0
29.987355107326504,2,1,0.0008,0.24271338221197009,0.0032421183905017303,31.41592653589793,1.0
29.987355107326504,2,2,0.0008,-0.29011490096131176,-0.01604665613445258,31.41592653589793,1.0
29.987355107326504,2,3,0.0008,0.24271338221197003,0.0032421183905011614,31.41592653589793,1.0
29.987355107326504,2,4,0.0008,-0.11591531507948094,0.008700536843543619,31.41592653589793,1.0
29.987355107326504,3,0,0.0008,-0.11106857516888792,-0.4765930841933926,31.41592653589793,1.0
29.987355107326504,3,1,0.0008,-0.07674863178765716,0.643030723177501,31.41592653589793,1.0
29.987355107326504,3,2,0.0008,0.2427133822119692,0.003242118390501675,31.41592653589793,1.0
29.987355107326504,3,3,0.0008,-0.2764494886223366,-0.6560510437412259,31.41592653589793,1.0
29.987355107326504,3,4,0.0008,0.23125485954335495,0.4565456719331154,31.41592653589793,1.0
29.987355107326504,4,0,0.0008,0.19131749607513915,0.3197486772663956,31.41592653589793,1.0
29.987355107326504,4,1,0.0008,-0.11106857516888831,-0.4765930841933926,31.41592653589793,1.0
29.987355107326504,4,2,0.0008,-0.1159153150794806,0.008700536843543029,31.41592653589793,1.0
